iter	Passed	Remaining
0	10	14509
1	21	14452
2	32	14685
3	45	15575
4	57	15644
5	68	15704
6	80	15710
7	92	15771
8	103	15705
9	115	15704
10	126	15671
11	137	15575
12	148	15566
13	160	15564
14	171	15542
15	183	15547
16	193	15465
17	204	15393
18	215	15392
19	226	15361
20	237	15327
21	248	15264
22	258	15170
23	269	15143
24	281	15192
25	292	15178
26	301	15071
27	312	15033
28	324	15046
29	335	15035
30	345	14968
31	355	14939
32	366	14901
33	376	14836
34	388	14856
35	397	14798
36	408	14767
37	418	14739
38	429	14711
39	439	14667
40	450	14651
41	462	14675
42	483	14981
43	571	17290
44	589	17434
45	602	17406
46	614	17356
47	625	17292
48	637	17240
49	647	17161
50	661	17177
51	671	17087
52	681	17008
53	692	16935
54	702	16866
55	712	16791
56	722	16716
57	733	16653
58	744	16606
59	755	16555
60	766	16517
61	777	16461
62	788	16417
63	799	16374
64	814	16408
65	826	16383
66	837	16347
67	849	16323
68	858	16255
69	869	16200
70	884	16237
71	897	16239
72	908	16202
73	918	16150
74	931	16146
75	942	16100
76	952	16061
77	962	16004
78	972	15958
79	982	15905
80	994	15882
81	1008	15897
82	1023	15929
83	1034	15893
84	1043	15839
85	1056	15832
86	1068	15814
87	1078	15768
88	1090	15755
89	1100	15715
90	1111	15687
91	1121	15639
92	1131	15596
93	1145	15605
94	1158	15609
95	1168	15568
96	1180	15548
97	1190	15512
98	1201	15486
99	1213	15468
100	1223	15434
101	1235	15424
102	1247	15406
103	1258	15379
104	1269	15352
105	1281	15345
106	1292	15316
107	1303	15294
108	1315	15273
109	1325	15239
110	1335	15202
111	1346	15186
112	1361	15204
113	1371	15172
114	1385	15175
115	1397	15167
116	1407	15129
117	1418	15110
118	1429	15087
119	1440	15061
120	1452	15048
121	1464	15038
122	1475	15016
123	1485	14982
124	1495	14950
125	1506	14931
126	1517	14909
127	1529	14898
128	1540	14877
129	1549	14843
130	1560	14820
131	1571	14795
132	1583	14783
133	1595	14779
134	1606	14756
135	1617	14738
136	1630	14732
137	1640	14705
138	1650	14679
139	1662	14666
140	1674	14650
141	1684	14624
142	1693	14588
143	1707	14593
144	1719	14585
145	1729	14560
146	1739	14531
147	1749	14508
148	1760	14486
149	1770	14461
150	1781	14443
151	1793	14433
152	1804	14414
153	1814	14389
154	1827	14381
155	1836	14351
156	1848	14337
157	1916	14760
158	1952	14931
159	1962	14905
160	1975	14895
161	1986	14872
162	1996	14847
163	2008	14834
164	2020	14814
165	2030	14789
166	2044	14790
167	2055	14767
168	2069	14765
169	2081	14755
170	2091	14725
171	2104	14718
172	2114	14691
173	2126	14674
174	2136	14651
175	2146	14622
176	2156	14595
177	2167	14572
178	2176	14545
179	2186	14516
180	2197	14498
181	2209	14483
182	2219	14459
183	2230	14435
184	2241	14415
185	2254	14409
186	2265	14389
187	2277	14381
188	2287	14355
189	2299	14344
190	2308	14311
191	2321	14303
192	2333	14289
193	2342	14263
194	2352	14238
195	2364	14223
196	2376	14212
197	2388	14197
198	2402	14198
199	2414	14187
200	2424	14159
201	2435	14141
202	2449	14144
203	2463	14143
204	2477	14137
205	2487	14113
206	2499	14102
207	2511	14089
208	2523	14080
209	2535	14067
210	2547	14054
211	2558	14033
212	2568	14011
213	2579	13995
214	2591	13981
215	2605	13978
216	2615	13959
217	2629	13954
218	2641	13942
219	2651	13922
220	2662	13901
221	2674	13892
222	2688	13887
223	2698	13868
224	2711	13857
225	2720	13829
226	2729	13804
227	2740	13784
228	2750	13762
229	2760	13744
230	2771	13724
231	2782	13709
232	2795	13702
233	2807	13690
234	2818	13673
235	2827	13646
236	2838	13630
237	2849	13612
238	2859	13592
239	2872	13583
240	2887	13584
241	2897	13565
242	2907	13543
243	2917	13525
244	2930	13516
245	2943	13510
246	2952	13485
247	2963	13469
248	2972	13444
249	2984	13430
250	2993	13406
251	3008	13406
252	3022	13402
253	3036	13400
254	3057	13427
255	3068	13413
256	3078	13393
257	3091	13385
258	3102	13367
259	3116	13363
260	3125	13342
261	3136	13324
262	3149	13314
263	3158	13290
264	3168	13273
265	3179	13253
266	3189	13237
267	3200	13221
268	3211	13202
269	3220	13180
270	3229	13157
271	3241	13143
272	3256	13143
273	3266	13125
274	3275	13100
275	3288	13095
276	3299	13080
277	3310	13065
278	3319	13041
279	3330	13023
280	3343	13018
281	3356	13010
282	3367	12992
283	3377	12976
284	3388	12959
285	3398	12939
286	3411	12934
287	3423	12920
288	3433	12900
289	3444	12887
290	3454	12869
291	3467	12862
292	3479	12849
293	3489	12830
294	3499	12813
295	3510	12796
296	3523	12790
297	3537	12783
298	3547	12765
299	3573	12806
300	3672	13105
301	3698	13140
302	3710	13128
303	3725	13124
304	3738	13113
305	3751	13106
306	3767	13105
307	3779	13092
308	3790	13077
309	3802	13063
310	3812	13044
311	3826	13037
312	3839	13026
313	3853	13020
314	3867	13014
315	3882	13011
316	3895	13002
317	3908	12991
318	3921	12979
319	3933	12967
320	3945	12953
321	3958	12945
322	3974	12946
323	3987	12934
324	4002	12932
325	4017	12927
326	4037	12939
327	4053	12940
328	4069	12937
329	4088	12947
330	4107	12956
331	4126	12962
332	4152	12993
333	4168	12992
334	4182	12983
335	4194	12970
336	4206	12955
337	4220	12948
338	4236	12945
339	4250	12939
340	4264	12931
341	4277	12919
342	4292	12913
343	4305	12903
344	4318	12893
345	4335	12892
346	4348	12881
347	4360	12868
348	4372	12854
349	4385	12842
350	4415	12880
351	4430	12875
352	4442	12861
353	4455	12849
354	4471	12848
355	4487	12845
356	4501	12837
357	4517	12833
358	4530	12821
359	4543	12809
360	4553	12790
361	4566	12778
362	4580	12768
363	4591	12753
364	4603	12739
365	4616	12726
366	4631	12720
367	4643	12705
368	4657	12698
369	4673	12693
370	4687	12684
371	4714	12710
372	4726	12697
373	4737	12679
374	4750	12666
375	4763	12655
376	4777	12646
377	4792	12640
378	4804	12626
379	4817	12613
380	4833	12610
381	4845	12596
382	4858	12584
383	4871	12571
384	4883	12556
385	4897	12548
386	4909	12533
387	4924	12526
388	4940	12522
389	4956	12518
390	4972	12512
391	4986	12503
392	5001	12497
393	5015	12487
394	5027	12472
395	5053	12493
396	5100	12564
397	5113	12552
398	5125	12537
399	5163	12586
400	5177	12576
401	5194	12571
402	5208	12562
403	5224	12556
404	5238	12546
405	5252	12536
406	5265	12524
407	5279	12511
408	5296	12509
409	5310	12498
410	5321	12480
411	5346	12496
412	5357	12479
413	5370	12466
414	5383	12453
415	5396	12440
416	5411	12432
417	5425	12421
418	5437	12405
419	5449	12391
420	5464	12382
421	5479	12373
422	5495	12368
423	5512	12364
424	5525	12351
425	5541	12344
426	5553	12330
427	5571	12326
428	5583	12312
429	5596	12298
430	5607	12282
431	5622	12272
432	5636	12261
433	5648	12246
434	5660	12232
435	5674	12220
436	5686	12205
437	5700	12195
438	5714	12183
439	5727	12170
440	5740	12158
441	5751	12140
442	5764	12127
443	5777	12115
444	5793	12108
445	5806	12094
446	5821	12085
447	5835	12075
448	5852	12070
449	5865	12057
450	5879	12045
451	5894	12036
452	5907	12022
453	5920	12009
454	5933	11996
455	5948	11987
456	5962	11977
457	5976	11966
458	5993	11960
459	6008	11951
460	6019	11935
461	6034	11925
462	6046	11910
463	6060	11898
464	6073	11885
465	6087	11875
466	6103	11867
467	6117	11856
468	6132	11846
469	6146	11835
470	6162	11827
471	6174	11812
472	6189	11802
473	6201	11788
474	6213	11772
475	6226	11759
476	6238	11744
477	6251	11732
478	6264	11718
479	6276	11703
480	6290	11691
481	6306	11683
482	6318	11669
483	6331	11655
484	6344	11642
485	6357	11628
486	6373	11620
487	6387	11609
488	6400	11597
489	6416	11588
490	6430	11576
491	6467	11607
492	6481	11595
493	6506	11603
494	6567	11675
495	6584	11669
496	6597	11655
497	6611	11643
498	6628	11635
499	6641	11623
500	6660	11618
501	6675	11609
502	6689	11596
503	6703	11584
504	6716	11570
505	6733	11564
506	6749	11555
507	6766	11547
508	6792	11556
509	6809	11549
510	6826	11542
511	6847	11542
512	6861	11530
513	6875	11517
514	6890	11507
515	6906	11497
516	6923	11489
517	6940	11482
518	6956	11474
519	6973	11465
520	6998	11471
521	7012	11458
522	7024	11443
523	7036	11428
524	7051	11416
525	7075	11420
526	7091	11411
527	7103	11394
528	7118	11384
529	7134	11375
530	7150	11364
531	7166	11356
532	7181	11345
533	7196	11333
534	7209	11319
535	7224	11308
536	7238	11295
537	7254	11286
538	7269	11274
539	7280	11258
540	7297	11249
541	7311	11237
542	7322	11220
543	7337	11208
544	7352	11197
545	7370	11191
546	7385	11178
547	7399	11166
548	7413	11153
549	7430	11145
550	7446	11136
551	7464	11128
552	7479	11118
553	7493	11104
554	7506	11090
555	7519	11075
556	7536	11068
557	7550	11055
558	7566	11044
559	7579	11031
560	7593	11018
561	7611	11010
562	7624	10995
563	7635	10979
564	7646	10962
565	7659	10947
566	7671	10932
567	7685	10918
568	7696	10902
569	7709	10887
570	7724	10876
571	7739	10864
572	7750	10848
573	7765	10836
574	7780	10825
575	7792	10809
576	7806	10795
577	7819	10782
578	7834	10770
579	7893	10819
580	7928	10835
581	7952	10836
582	7966	10821
583	7980	10809
584	7995	10796
585	8011	10786
586	8025	10773
587	8040	10761
588	8055	10750
589	8072	10740
590	8085	10725
591	8098	10711
592	8113	10699
593	8127	10685
594	8143	10674
595	8155	10659
596	8168	10645
597	8187	10638
598	8200	10624
599	8215	10611
600	8226	10595
601	8239	10579
602	8254	10568
603	8267	10553
604	8282	10541
605	8296	10527
606	8322	10530
607	8335	10515
608	8347	10500
609	8365	10490
610	8378	10475
611	8391	10462
612	8406	10449
613	8422	10439
614	8439	10429
615	8453	10415
616	8468	10403
617	8484	10393
618	8500	10381
619	8515	10370
620	8530	10356
621	8546	10346
622	8561	10334
623	8574	10319
624	8590	10308
625	8603	10294
